datetime,open,high,low,close,volume
2025-12-01 03:12:00+00:00,13467491.0,13480000.0,13467491.0,13479399.0,0.82810832
2025-12-01 03:13:00+00:00,13479664.0,13479664.0,13462724.0,13462724.0,0.48399268
2025-12-01 03:14:00+00:00,13462900.0,13470700.0,13451403.0,13457697.0,2.03154302
2025-12-01 03:15:00+00:00,13457599.0,13466592.0,13456389.0,13457000.0,2.12791585
2025-12-01 03:16:00+00:00,13462289.0,13462999.0,13444444.0,13451000.0,2.77022019
2025-12-01 03:17:00+00:00,13450891.0,13459358.0,13418491.0,13449921.0,6.67910188
2025-12-01 03:18:00+00:00,13448900.0,13487486.0,13442307.0,13487474.0,1.5901341900000001
2025-12-01 03:19:00+00:00,13476641.0,13477800.0,13451075.0,13456100.0,1.85634336
2025-12-01 03:20:00+00:00,13458500.0,13466600.0,13456236.0,13462510.0,0.64825245
2025-12-01 03:21:00+00:00,13462000.0,13478114.0,13457440.0,13470823.0,1.31182986
2025-12-01 03:22:00+00:00,13475549.0,13482031.0,13469500.0,13469898.0,2.15636848
2025-12-01 03:23:00+00:00,13469896.0,13471298.0,13464428.0,13466897.0,1.48878821
2025-12-01 03:24:00+00:00,13466897.0,13468759.0,13451730.0,13468759.0,0.91260413
2025-12-01 03:25:00+00:00,13468700.0,13475300.0,13468434.0,13469070.0,1.03823895
2025-12-01 03:26:00+00:00,13469976.0,13474598.0,13458467.0,13458467.0,1.34789198
2025-12-01 03:27:00+00:00,13458467.0,13470265.0,13455538.0,13460201.0,0.83209057
2025-12-01 03:28:00+00:00,13459858.0,13462692.0,13447401.0,13462692.0,1.1532764899999999
2025-12-01 03:29:00+00:00,13461896.0,13461896.0,13450483.0,13450483.0,0.25838367
2025-12-01 03:30:00+00:00,13455800.0,13455800.0,13445000.0,13448198.0,1.00118774
2025-12-01 03:31:00+00:00,13447397.0,13447397.0,13432200.0,13432200.0,3.31438501
2025-12-01 03:32:00+00:00,13424000.0,13442333.0,13424000.0,13432052.0,0.29448549
2025-12-01 03:33:00+00:00,13443783.0,13447289.0,13430000.0,13443810.0,2.8113222700000002
2025-12-01 03:34:00+00:00,13439543.0,13447160.0,13432052.0,13439466.0,0.71122699
2025-12-01 03:35:00+00:00,13430000.0,13438216.0,13422202.0,13433299.0,0.67916318
2025-12-01 03:36:00+00:00,13433265.0,13433265.0,13420000.0,13431575.0,3.1030469800000002
2025-12-01 03:37:00+00:00,13426768.0,13439997.0,13424072.0,13433945.0,7.70271335
2025-12-01 03:38:00+00:00,13433838.0,13435300.0,13426137.0,13429427.0,5.0762205
2025-12-01 03:39:00+00:00,13425586.0,13426381.0,13410500.0,13420709.0,3.22496604
2025-12-01 03:40:00+00:00,13421798.0,13433994.0,13421798.0,13433994.0,0.37822251
2025-12-01 03:41:00+00:00,13436200.0,13452000.0,13435565.0,13451960.0,1.09075937
2025-12-01 03:42:00+00:00,13454029.0,13454029.0,13446364.0,13453300.0,0.52342417
2025-12-01 03:43:00+00:00,13450000.0,13456272.0,13450000.0,13453583.0,1.14037088
2025-12-01 03:44:00+00:00,13448006.0,13455100.0,13448006.0,13454897.0,0.13663673
2025-12-01 03:45:00+00:00,13454900.0,13459394.0,13445600.0,13456271.0,1.33128651
2025-12-01 03:46:00+00:00,13452000.0,13454798.0,13448110.0,13449251.0,3.0679712
2025-12-01 03:47:00+00:00,13447499.0,13451672.0,13434400.0,13446906.0,2.8739763
2025-12-01 03:48:00+00:00,13446000.0,13446000.0,13430001.0,13436386.0,0.78667467
2025-12-01 03:49:00+00:00,13436388.0,13439996.0,13426677.0,13431100.0,1.36402969
2025-12-01 03:50:00+00:00,13431000.0,13433500.0,13424439.0,13433500.0,2.27870898
2025-12-01 03:51:00+00:00,13433500.0,13440000.0,13433166.0,13438091.0,2.25402166
2025-12-01 03:52:00+00:00,13440000.0,13446906.0,13435610.0,13445752.0,1.07984361
2025-12-01 03:53:00+00:00,13445400.0,13445400.0,13435000.0,13435000.0,0.22076302
2025-12-01 03:54:00+00:00,13437157.0,13437157.0,13435799.0,13435799.0,0.09420709
2025-12-01 03:55:00+00:00,13433111.0,13437540.0,13427904.0,13436599.0,1.33094016
2025-12-01 03:56:00+00:00,13427856.0,13447130.0,13427856.0,13446599.0,0.66400665
2025-12-01 03:57:00+00:00,13446596.0,13453149.0,13440666.0,13453149.0,0.39892441
2025-12-01 03:58:00+00:00,13453149.0,13455900.0,13445500.0,13447600.0,0.56716099
2025-12-01 03:59:00+00:00,13451700.0,13451994.0,13451400.0,13451400.0,0.7292628
